index,Date,Company,Open,High,Low,Close,Adj Close,Volume,Year,Quarter
943,2021-09-28,Chevron,103.91000366210938,104.88999938964844,102.87999725341797,103.36000061035156,91.90634155273438,15560800,2021,2021Q3
944,2021-09-29,Chevron,103.20999908447266,104.23999786376953,102.33999633789062,103.33000183105469,91.8796615600586,10268100,2021,2021Q3
945,2021-09-30,Chevron,103.41999816894531,103.44999694824219,101.44999694824219,101.44999694824219,90.20799255371094,15319800,2021,2021Q3
946,2021-10-01,Chevron,102.22000122070312,104.54000091552734,101.87999725341797,104.33000183105469,92.76885223388672,10854900,2021,2021Q4
947,2021-10-04,Chevron,105.0,105.86000061035156,104.11000061035156,104.72000122070312,93.11563110351562,13305400,2021,2021Q4
948,2021-10-05,Chevron,106.04000091552734,107.7699966430664,105.41999816894531,105.86000061035156,94.12931060791016,13017300,2021,2021Q4
949,2021-10-06,Chevron,104.18000030517578,105.3499984741211,103.58000183105469,104.93000030517578,93.3023681640625,10630100,2021,2021Q4
950,2021-10-07,Chevron,105.61000061035156,106.30000305175781,105.22000122070312,105.68000030517578,93.96924591064453,8830900,2021,2021Q4
951,2021-10-08,Chevron,106.80999755859375,108.43000030517578,106.5999984741211,108.05000305175781,96.07662200927734,10586700,2021,2021Q4
952,2021-10-11,Chevron,109.55999755859375,109.62999725341797,106.91999816894531,107.12999725341797,95.25856018066406,9794800,2021,2021Q4
953,2021-10-12,Chevron,106.98999786376953,107.58000183105469,106.16999816894531,107.1500015258789,95.27633666992188,9085000,2021,2021Q4
954,2021-10-13,Chevron,106.7699966430664,108.33999633789062,106.4800033569336,107.79000091552734,95.84542846679688,9220700,2021,2021Q4
955,2021-10-14,Chevron,108.87999725341797,109.16000366210938,108.11000061035156,108.80999755859375,96.75241088867188,7648600,2021,2021Q4
956,2021-10-15,Chevron,109.7699966430664,110.02999877929688,109.43000030517578,109.61000061035156,97.46375274658203,9968100,2021,2021Q4
957,2021-10-18,Chevron,110.22000122070312,110.41000366210938,108.95999908447266,109.55999755859375,97.41929626464844,10677400,2021,2021Q4
958,2021-10-19,Chevron,110.16000366210938,111.69999694824219,109.80000305175781,111.69999694824219,99.32215118408203,10362800,2021,2021Q4
959,2021-10-20,Chevron,111.08999633789062,113.16999816894531,110.77999877929688,113.16000366210938,100.620361328125,10811400,2021,2021Q4
960,2021-10-21,Chevron,112.70999908447266,112.80999755859375,110.87000274658203,111.73999786376953,99.35771942138672,9372600,2021,2021Q4
961,2021-10-22,Chevron,112.22000122070312,112.87999725341797,111.44999694824219,112.80000305175781,100.30026245117188,8673800,2021,2021Q4
962,2021-10-25,Chevron,113.52999877929688,114.3499984741211,113.30000305175781,113.8499984741211,101.23389434814453,9579800,2021,2021Q4
963,2021-10-26,Chevron,113.9800033569336,114.5999984741211,113.51000213623047,114.0999984741211,101.4561996459961,7463000,2021,2021Q4
964,2021-10-27,Chevron,113.22000122070312,113.58000183105469,111.6500015258789,112.06999969482422,99.6511459350586,9096100,2021,2021Q4
965,2021-10-28,Chevron,111.58000183105469,113.2699966430664,111.58000183105469,113.12000274658203,100.58480834960938,7538200,2021,2021Q4
966,2021-10-29,Chevron,114.83000183105469,115.29000091552734,113.1500015258789,114.48999786376953,101.80299377441406,15294200,2021,2021Q4
